City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1053384,Toamasina,MG,-18.1667,49.3833,75.2,94,75,2.3
3883457,Lebu,CL,-37.6167,-73.65,55.72,95,100,14.07
1701054,Marawi,PH,7.9986,124.2928,82.99,77,6,1.01
1814093,Dali,CN,25.7,100.1833,65.71,58,9,4.21
777019,Vardø,NO,70.3705,31.1107,33.3,66,99,15.68
3579925,St. George's,GD,12.0564,-61.7485,78.8,83,20,14.97
5367788,Lompoc,US,34.6391,-120.4579,53.74,88,90,21.85
3445679,Uruguaiana,BR,-29.7547,-57.0883,68.0,73,0,4.61
2123814,Leningradskiy,RU,69.3833,178.4167,17.58,91,100,19.6
3016097,Gien,FR,47.6933,2.6309,37.71,82,43,3.98
1006984,East London,ZA,-33.0153,27.9116,60.21,68,0,6.11
1637001,Biak,ID,-0.9131,122.8766,81.19,72,100,3.69
57289,Hargeisa,SO,9.56,44.065,67.87,79,44,6.87
2512186,Puerto del Rosario,ES,28.5004,-13.8627,66.2,68,20,17.27
2185329,Otane,NZ,-39.8833,176.6333,59.27,51,5,4.0
5880054,Barrow,US,71.2906,-156.7887,21.2,86,90,10.36
2063042,Port Hedland,AU,-20.3167,118.5667,77.0,100,40,4.61
1507390,Dikson,RU,73.5069,80.5464,21.34,92,100,7.36
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,73.06,68,100,11.18
2475612,Tolga,DZ,34.7222,5.3785,69.8,78,20,6.91
4032243,Vaini,TO,-21.2,-175.2,78.8,73,40,13.8
4614748,Collierville,US,35.042,-89.6645,74.62,46,40,5.75
6167817,Torbay,CA,47.6666,-52.7314,39.69,81,90,21.85
2138555,Poum,NC,-20.2333,164.0167,78.73,71,100,12.41
2222439,Rey Bouba,CM,8.6724,14.1786,84.34,44,100,2.75
1498087,Nadym,RU,65.5333,72.5167,31.48,97,100,22.39
2281120,Tabou,CI,4.423,-7.3528,79.23,84,100,5.93
3424607,Tasiilaq,GL,65.6145,-37.6368,24.8,93,8,3.31
2180815,Tuatapere,NZ,-46.1333,167.6833,59.0,72,15,5.99
3428068,San Vicente,AR,-26.6167,-54.1333,59.49,67,0,2.21
